is_canceled,deposit_type,lead_time,country,price,total_of_special_requests,arrival_date_day_of_month,arrival_date_week_number,market_segment,previous_cancellations
0,0,3,133,66.0,0,21,4,2,0
0,0,67,133,88.55,1,31,31,6,0
0,0,10,160,195.0,0,22,4,5,0
0,0,3,133,66.0,0,28,49,2,0
0,0,123,54,407.5,1,12,16,6,0
0,0,23,14,1025.5,1,23,34,5,0
0,0,0,133,158.0,0,5,6,3,0
0,0,2,49,338.0,1,17,33,6,0
0,0,164,133,200.0,0,2,40,5,0
0,0,7,133,702.0,0,31,53,6,0
0,0,53,57,429.25,2,28,14,6,0
0,0,218,133,412.65,1,1,36,5,0
0,0,140,57,330.57,3,12,38,6,0
0,0,54,54,356.4,2,10,16,6,0
0,0,205,57,350.15,1,26,31,6,0
0,0,202,28,313.4,2,12,28,6,0
0,0,124,164,181.8,1,3,28,6,0
0,0,115,133,140.0,0,18,12,4,0
0,0,1,133,56.0,1,27,5,6,0
0,0,39,54,280.0,0,4,31,6,0
0,0,0,49,155.01,0,5,49,5,0
0,0,11,49,422.73,0,31,31,6,0
0,0,180,54,913.5,0,22,29,6,0
0,0,272,54,175.5,0,30,40,5,0
0,0,191,133,152.6,0,15,33,6,0
0,0,20,133,80.0,0,2,45,2,1
0,2,339,57,565.6700000000002,0,11,42,4,0
0,0,0,133,54.0,0,12,42,2,0
0,0,133,14,267.29999999999995,2,9,28,3,0
0,0,229,74,702.0300000000002,2,25,26,6,0
0,0,328,54,130.0,1,30,40,4,0
0,0,4,133,85.0,0,12,46,3,0
0,0,116,57,554.2,2,6,28,6,0
0,0,132,57,433.5,0,19,30,5,0
0,0,250,79,535.5,1,4,31,6,0
0,0,154,28,1088.99,1,13,28,3,0
0,0,12,133,515.0,1,26,26,5,0
0,0,12,54,234.0,1,16,3,6,0
0,0,3,133,65.0,2,7,50,6,0
0,0,21,121,357.0,1,19,43,6,0
0,0,63,133,232.0,0,4,36,5,0
0,0,72,78,257.01,0,28,44,4,0
0,0,219,79,192.0,0,20,34,4,0
0,0,251,42,96.3,1,3,36,6,0
0,0,66,33,192.0,1,24,44,5,0
0,0,1,167,173.0,1,3,27,3,0
0,0,4,49,419.85,1,16,16,3,0
0,0,28,133,344.0,0,18,17,5,0
0,0,22,57,462.0,1,17,16,6,0
0,0,40,54,448.0,0,1,49,5,0
0,0,3,133,72.0,0,21,48,2,0
0,0,17,133,72.0,0,5,45,3,0
0,0,1,133,63.0,3,4,5,3,0
0,0,137,49,105.0,1,19,17,6,0
0,0,81,54,180.0,0,19,8,5,0
0,0,92,54,424.32,0,24,22,5,0
0,0,122,131,664.2,0,15,29,5,0
0,0,140,133,195.0,0,18,47,4,0
0,0,5,133,224.0,1,13,7,6,0
0,0,52,11,378.0,0,17,24,2,0
0,0,5,133,140.0,0,23,4,2,0
0,0,14,54,578.01,2,24,13,6,0
0,0,9,54,314.4,0,31,23,6,0
0,0,203,54,92.0,0,10,20,4,0
0,0,102,28,421.2000000000001,0,19,21,6,0
0,0,273,133,218.0,0,17,29,5,0
0,0,1,74,90.0,1,15,3,6,0
0,0,55,133,87.0,0,6,15,5,0
0,0,29,57,583.2,0,29,35,5,0
0,0,14,46,200.0,0,15,42,5,0
0,0,225,57,216.0,0,26,22,4,0
0,0,22,54,409.72,1,30,23,6,0
0,0,112,10,332.64,0,4,23,6,0
0,0,257,42,318.6,3,2,41,6,0
0,0,160,57,529.0,0,28,44,6,0
0,0,12,99,447.9500000000001,1,10,50,6,0
0,0,23,57,202.4,1,17,47,5,0
0,0,289,133,442.8,0,3,36,6,0
0,0,65,54,420.0,0,23,48,5,0
0,0,83,49,371.7000000000001,0,3,23,6,0
0,0,85,79,234.0,1,4,23,6,0
0,0,269,49,351.0,1,22,25,6,0
0,0,23,49,55.0,0,29,14,3,0
0,0,0,133,36.96,0,24,48,6,0
0,0,86,49,575.0,1,12,15,6,0
0,0,4,133,195.0,0,13,47,2,0
0,0,155,79,275.4,1,16,29,6,0
0,0,62,74,267.29999999999995,0,24,17,5,0
0,0,83,14,529.2,2,19,43,6,0
0,0,118,42,454.75,1,10,16,6,0
0,0,45,54,258.0,2,19,47,6,0
0,0,151,70,198.0,1,28,40,6,0
0,0,316,11,330.0,0,26,22,4,0
0,0,135,57,850.5,0,9,28,5,0
0,0,159,24,432.0,0,19,39,5,0
0,0,21,28,123.2,1,10,46,6,0
0,0,118,57,372.6,1,24,31,6,0
0,0,103,54,100.0,0,9,7,4,0
0,0,55,49,150.0,0,6,37,4,0
0,0,113,133,59.0,0,25,22,5,0
0,0,1,133,220.0,1,27,9,3,0
0,0,251,33,424.0,1,26,26,4,0
0,0,39,167,333.0,1,26,21,6,0
0,0,0,54,401.2,0,20,8,3,0
0,0,2,49,84.85,1,8,24,6,0
